"MoveCount","CameraMove","Move","GripperPickupOwnPieceSuccess","GripperPutdownOwnPieceSuccess","GripperShouldPickupDeadPiece","GripperPickupDeadPieceSuccess","GripperPutdownDeadPieceSuccess","GripperPickupEnemyPiece","GripperPickupEnemyPieceSuccess","GripperPutdownEnemyPieceSuccess","ExtraPickupForCastling","ExtraPickupForCastlingSuccess","AngleOfTransformationMatrixChessboard","AngleOfTransformationMatrixPegs","MovesTriedBeforeSuccess","MostLikelyCameraMove","SecondMostLikelyCameraMove","ThirdMostLikelyCameraMove","MostLikelyCameraMoveScore","SecondMostLikelyCameraMoveScore","ThirdMostLikelyCameraMoveScore","CameraCorrectGreenCornorLocation","CameraCorrectYellowCornorLocation","CameraCorrectRedPegLocation","CameraCorrectYellowPegLocation","RobotManagesToMakeMovement"
"0","1","e2e4","1","1","0","1","1","0","1","1","0","1","0.047627","-0.354768","1","e2e4","e2e1","e4e1","3.236357","2.499796","2.334500","1","1","1","1","1"
"0","Null","c7c5","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","b1c3","1","1","0","1","1","0","1","1","0","1","0.047627","-0.354768","1","c3b1","c3c2","c3c4","2.764522","1.928030","1.863171","1","1","1","1","1"
"0","Null","b8c6","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","f1a6","1","1","0","1","1","0","1","1","0","1","0.047627","-0.354768","54","a6b7","a6a8","b7a8","3.360828","3.068246","3.027421","1","1","1","1","1"
"0","Null","b7a6","1","1","0","1","1","1","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","g1e2","1","1","0","1","1","0","1","1","0","1","0.047627","0.528869","182","a8e8","a8g8","bQ","3.196389","3.109682","3.097478","1","1","1","1","1"
"0","Null","c8b7","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
"0","1","wK","1","1","0","1","1","0","1","1","0","1","0.047627","0.528869","2","g1e1","wK","g1f1","2.920218","2.387074","2.036350","1","1","1","1","1"
"0","Null","e7e6","1","1","0","1","1","0","1","1","0","1","Null","Null","Null","Null","Null","Null","Null","Null","Null","1","1","1","1","1"
