MoveCount,CameraMove,Move,GripperPickupOwnPieceSuccess,GripperPutdownOwnPieceSuccess,GripperShouldPickupDeadPiece,GripperPickupDeadPieceSuccess,GripperPutdownDeadPieceSuccess,GripperPickupEnemyPiece,GripperPickupEnemyPieceSuccess,GripperPutdownEnemyPieceSuccess,ExtraPickupForCastling,ExtraPickupForCastlingSuccess,AngleOfTransformationMatrixChessboard,AngleOfTransformationMatrixPegs,MovesTriedBeforeSuccess,MostLikelyCameraMove,SecondMostLikelyCameraMove,ThirdMostLikelyCameraMove,MostLikelyCameraMoveScore,SecondMostLikelyCameraMoveScore,ThirdMostLikelyCameraMoveScore,CameraCorrectGreenCornorLocation,CameraCorrectYellowCornorLocation,CameraCorrectRedPegLocation,CameraCorrectYellowPegLocation,RobotManagesToMakeMovement
0,1,e2e4,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,1,e4e2,e4e1,e4c7,3.054871,1.943239,1.843353,1,1,1,1,1
0,Null,c7c5,1,1,0,1,1,0,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,d2d3,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,2,d2e1,d2d3,d2h1,2.504010,2.275681,1.700827,1,1,1,1,1
0,Null,b8c6,1,1,0,1,1,0,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,c1f4,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,1,c1f4,c1h1,c1g1,3.390398,1.700827,1.700827,1,1,1,1,1
0,Null,g7g6,1,1,0,1,1,0,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,b1c3,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,1,c3b1,c3h1,c3g1,2.332097,1.700827,1.700827,1,1,1,1,1
0,Null,d7d6,1,1,0,1,1,0,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,g1f3,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,1,g1f3,g1f2,g1h1,2.398725,1.861922,1.700827,1,1,1,1,1
0,Null,f8g7,1,1,0,1,1,0,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,c3d5,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,1,c3d5,c3h1,c3g1,2.618037,1.700827,1.700827,1,1,1,1,1
0,Null,g7b2,1,1,0,1,1,1,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,a1b1,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,1,a1b1,a1h1,a1g1,1.928558,1.700827,1.700827,1,1,1,1,1
0,Null,b2g7,1,1,0,1,1,0,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,f1e2,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,1,f1e2,f1b5,f1a4,2.363748,2.313850,2.293208,1,1,1,1,1
0,Null,e7e6,1,1,0,1,1,0,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,d5e3,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,1,e3d5,e3d4,e3c4,3.013694,2.097546,2.044127,1,1,1,1,1
0,Null,g8e7,1,1,0,1,1,0,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,wK,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,2,e1g1,wK,e1f1,2.639382,2.287588,2.106176,1,1,1,1,1
0,Null,bK,1,1,0,1,1,0,1,1,1,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,h2h3,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,1,h2h3,h2h1,h2g1,2.446580,1.846491,1.700827,1,1,1,1,1
0,Null,a8b8,1,1,0,1,1,0,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,d3d4,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,1,d4d3,d4h1,d4g1,2.368505,1.700827,1.700827,1,1,1,1,1
0,Null,c5d4,1,1,0,1,1,1,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,e3g4,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,1,e3g4,e3e2,e3f2,2.790178,1.918943,1.903458,1,1,1,1,1
0,Null,e6e5,1,1,0,1,1,0,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,f4g3,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,1,f4g3,f4g3,f4h1,3.126923,2.084615,1.700827,1,1,1,1,1
0,Null,h7h5,1,1,0,1,1,0,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,g4h2,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,1,g4h2,g4g3,g4h3,3.043679,2.379771,2.264695,1,1,1,1,1
0,Null,d6d5,1,1,0,1,1,0,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,d1d3,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,1,d3d1,d3c2,d3e2,3.178700,2.289937,2.172753,1,1,1,1,1
0,Null,d5e4,1,1,0,1,1,1,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,d3e4,1,1,1,1,1,0,1,1,0,1,0.378184,-0.087208,1,e4d3,e4h1,e4g1,1.918517,1.700827,1.700827,1,1,1,1,1
0,Null,c8f5,1,1,0,1,1,0,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,e4h4,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,1,h4e4,h4h1,h4d1,2.211687,2.059522,1.947105,1,1,1,1,1
0,Null,f5c2,1,1,0,1,1,1,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,b1c1,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,27,c1c2,c1c6,c1b7,2.903975,2.884255,2.863844,1,1,1,1,1
0,Null,d4d3,1,1,0,1,1,0,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,e2d1,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,1,e2d1,e2d3,e2c2,3.210593,2.260234,2.211492,1,1,1,1,1
0,Null,e7f5,1,1,0,1,1,0,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,h4e4,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,1,h4e4,h4f3,h4g5,2.353660,1.829558,1.829558,1,1,1,1,1
0,Null,d8b6,1,1,0,1,1,0,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,d1c2,1,1,1,1,1,0,1,1,0,1,0.378184,-0.087208,1,c2d1,c2h1,c2g1,1.915929,1.700827,1.700827,1,1,1,1,1
0,Null,f5g3,1,1,0,1,1,1,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,e4e1,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,1,e1e4,e1f3,e1h1,2.079601,1.789302,1.700827,1,1,1,1,1
0,Null,d3c2,1,1,0,1,1,1,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,e1e3,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,1,e1e3,e1h1,e1g1,3.387118,1.700827,1.700827,1,1,1,1,1
0,Null,b6e3,1,1,0,1,1,1,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,f2e3,1,1,1,1,1,0,1,1,0,1,0.378184,-0.087208,1,e3f2,e3g1,e3h1,2.640798,2.071670,1.700827,1,1,1,1,1
0,Null,g3e2,1,1,0,1,1,0,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,g1f2,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,1,f2g1,f2h1,f2f1,3.166316,1.700827,1.700827,1,1,1,1,1
0,Null,e2c1,1,1,0,1,1,1,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,f1c1,1,1,1,1,1,0,1,1,0,1,0.378184,-0.087208,1,c1f1,c1h1,c1g1,2.004098,1.700827,1.700827,1,1,1,1,1
0,Null,e5e4,1,1,0,1,1,0,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,c1d1,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,1,c1d1,c1h1,c1g1,2.181449,1.700827,1.700827,1,1,1,1,1
0,Null,c2d1,1,1,0,1,1,0,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,g2g4,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,64,d1g2,d1g4,d1f3,2.630800,2.063395,1.865162,1,1,1,1,1
0,Null,d1c2,1,1,0,1,1,0,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,f2g3,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,1,f2g3,f2e2,f2e3,3.178175,1.823574,1.823574,1,1,1,1,1
0,Null,h5h4,1,1,0,1,1,0,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,g3f4,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,1,f4g3,f4g3,f4h1,2.818404,1.878936,1.700827,1,1,1,1,1
0,Null,c2f2,1,1,0,1,1,0,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,g4g5,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,1,g5g4,g5h1,g5g1,2.467716,1.700827,1.700827,1,1,1,1,1
0,Null,f8e8,1,1,0,1,1,0,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,h2g4,1,1,0,1,1,0,1,1,0,1,0.378184,-0.087208,1,h2g4,h2h1,h2g1,3.356923,1.700827,1.700827,1,1,1,1,1
0,Null,f2f3,1,1,0,1,1,1,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,e2e4,1,1,0,1,1,0,1,1,0,1,-0.047157,-0.434709,1,e4e2,e4b1,e4h1,2.468497,2.080675,2.020792,1,1,1,1,1
0,Null,c7c5,1,1,0,1,1,0,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
0,1,d2d3,1,1,0,1,1,0,1,1,0,1,-0.047157,-0.434709,1,d2d3,d2d1,d2c1,2.132926,2.004335,1.954879,1,1,1,1,1
0,Null,b8c6,1,1,0,1,1,0,1,1,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,1,1,1
