"MoveCount","CameraMove","Move","GripperPickupOwnPieceSuccess","GripperPickupOwnPieceSuccess","GripperShouldPickupDeadPiece","GripperPickupDeadPieceSuccess","GripperPutdownDeadPieceSuccess","GripperPickupEnemyPiece","GripperPickupEnemyPieceSuccess","GripperPutdownEnemyPieceSuccess","ExtraPickupForCastling","ExtraPickupForCastlingSuccess","AngleOfTransformationMatrixChessboard","AngleOfTransformationMatrixPegs","MovesTriedBeforeSuccess","MostLikelyCameraMove","SecondMostLikelyCameraMove","ThirdMostLikelyCameraMove","MostLikelyCameraMoveScore","SecondMostLikelyCameraMoveScore","ThirdMostLikelyCameraMoveScore","RobotManagesToMakeMovement"
"0","1","e2e4","","1","0","1","1","0","1","1","0","1","0.618105","-0.350429","1","e2e4","e2e3","e2d8","3.362681","2.366916","2.359505","1"
"0","","c7c5","","","","","","","","","","","","","","c7c5","c7e8","c7c8","3.339210","2.600685","2.558068",""
"0","1","f1b5","","","","","","","","","","","0.618105","-0.350429","1","b5f1","b5e1","f1e1","3.316205","2.583723","2.498274",""
"0","","a7a6","","","","","","","","","","","","","","a6a7","a6a8","a6d8","2.790973","2.026818","1.969402",""
"0","1","b5a4","","","","","","","","","","","0.618105","-0.350429","1","a4b5","a4a6","b5a6","3.374526","2.531572","2.504444",""
"0","","b7b5","","","","","","","","","","","","","","b5b7","b5a8","b5a6","3.346421","2.212094","2.198181",""
"0","1","a4b3","","","","","","","","","","","0.618105","-0.350429","1","b3a4","b3b2","b3b5","3.319547","2.851171","2.829653",""
"0","","c5c4","","","","","","","","","","","","","","c4c5","c4b5","c4d8","2.786699","2.203627","2.014852",""
"0","1","d1f3","","","","","","","","","","","0.618105","-0.350429","1","f3d1","f3c2","d1c2","3.389332","2.805604","2.793282",""
"0","","c4b3","","","","","","1","","","","","","","","c4b3","c4b3","c4b5","3.286591","2.346786","2.094264",""
"0","1","c2b3","","","1","","","","","","","","0.618105","-0.350429","1","b3c2","b3e8","b3b5","2.389820","2.266144","2.215031",""
"0","","d7d5","","","","","","","","","","","","","","d5d7","d5c8","d5e8","3.254424","2.275693","2.260755",""
"0","1","g1e2","","","","","","","","","","","0.618105","-0.350429","3","wK","g1f1","g1e2","3.100801","2.801964","2.743533",""
"0","","d5e4","","","","","","1","","","","","","","","e4d5","e4a8","e4d7","2.949625","2.562556","2.554503",""
"0","1","f3f7","","","1","","","","","","","","0.618105","-0.350429","1","f7f3","f7e8","f7e4","2.540113","2.152774","2.145817",""
"0","","e8f7","","","","","","1","","","","","","","","e8f7","bQ","e8a1","3.288419","2.679298","2.649753",""
"0","1","b1c3","","","","","","","","","","","0.618105","-0.350429","29","wQ","c3a1","c3d2","3.414374","3.229390","3.193908",""
"0","","g8f6","","","","","","","","","","","","","","g8f6","g8f8","g8f7","2.741268","2.335642","2.129921",""
"0","1","wK","","","","","","","","","","","0.618105","-0.350429","1","wK","e1g1","e1f1","3.439750","3.362458","2.650125",""
"0","","b8c6","","","","","","","","","","","","","","c6b8","c6c8","c6b7","2.876700","2.354470","2.077427",""
"0","1","f1e1","","","","","","","","","","","0.618105","-0.350429","1","e1f1","e1d1","wK","2.648928","2.096092","2.074609",""
"0","","a8a7","","","","","","","","","","","","","","a8a7","a8a6","a8d8","2.823411","1.997254","1.929836",""
"0","1","c3e4","","","1","","","","","","","","0.618105","-0.350429","1","e4c3","e4a1","e4e1","3.115483","2.173321","2.150165",""
"0","","f6e4","","","","","","1","","","","","","","","e4f6","e4f7","e4e7","3.102069","2.187255","2.180313",""
"0","1","e1f1","","","","","","","","","","","0.618105","-0.350429","70","e4e1","e4h1","e4c8","3.023821","2.266827","2.257866",""
"0","","e4f6","","","","","","","","","","","","","","f6e4","f6b5","f6h1","2.754193","2.339757","2.305996",""
